house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,"1,517 sq ft",Sanathal,Ahmedabad,22.97488022,72.45694733,50000,INR,2,Posted a year ago,"It’s a 3 bhk multistorey apartment situated in Amaya Properties 78 at Gokuldham, Sanathal, Ahmedabad. It has area of 1517 sqft and is available at a rent of Rs. 50,000. The house is semi-furnished. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",No Deposit,Semi-Furnished
1 BHK Apartment,540 sq ft,Maninagar,Ahmedabad,22.99090195,72.60709381,10000,INR,1,Posted 3 years ago,It’s a 1 bhk multistorey apartment situated in Maninagar. It is a furnished property. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Please contact for more details.,No Deposit,Furnished
3 BHK Apartment,"1,860 sq ft",Shela,Ahmedabad,22.99576569,72.46743011,45000,INR,3,Posted a month ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Goyal And Co And HN Safal Orchid Heaven. It has an area of 1860 sqft with a carpet area of 1560 sqft . The property is available at a monthly rental of Rs. 45,000 . The house is furnished. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Furnished
1 BHK Apartment,775 sq ft,Narolgam,Ahmedabad,19.21653557,73.08716583,16000,INR,2,Posted a month ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in Giriraj Buildcon Heights, one of the most prestigious projects of Narolgam. It has a built-up area of 775 sqft and is available for rent at Rs. 16,000 per month . It is a semi-furnished property. It is a 4 year old ready-to-move-in property. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor,680 sq ft,Isanpur,Ahmedabad,22.97825813,72.60022736,8500,INR,1,Posted 15 days ago,"A spacious 1 bhk builder floor is available for rental in Isanpur, Ahmedabad. It has an area of 680 sqft with a carpet area of 620 sqft . The property is available at a monthly rental of Rs. 8,500 . This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,175 sq ft",Bopal,Ahmedabad,23.01670837,72.46910858,22000,INR,1,Posted 4 days ago,"It has area of 1175 sqft and is available at a rent of Rs. 22,000. The house is semi-furnished. Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
3 BHK Apartment,"2,400 sq ft",Ellisbridge,Ahmedabad,23.02260017,72.57112885,45000,INR,3,Posted 2 days ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Ellisbridge. It has a built-up area of 2400 sqft and is available for rent at Rs. 45,000 per month . It is a semi-furnished property. It is a 3 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. ",No Deposit,Semi-Furnished
4 BHK Villa,"3,350 sq ft",Gota,Ahmedabad,23.09857941,72.53167725,75000,INR,1,Posted 2 days ago,"It’s a 4 bhk villa situated in Gota. It has area of 3350 sqft and is available at a rent of Rs. 75,000. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"2,065 sq ft",Thaltej,Ahmedabad,23.04841614,72.48984528,70000,INR,2,Posted 2 days ago,"A spacious 3 bhk multistorey apartment is available for rental in Empire Infrastructure Ahmedabad Pushpam, Thaltej, Ahmedabad. It has area of 2065 sqft and is available at a rent of Rs. 70,000. The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
4 BHK Apartment,"2,905 sq ft",Bopal,Ahmedabad,23.03118134,72.47650146,55000,INR,4,Posted 2 days ago,"Well designed 4 bhk multistorey apartment is available at a prime location in JP Iscon Group Iscon Platinum. It has an area of 2905 sqft . The property is available at a monthly rental of Rs. 55,000 . It is a semi-furnished property. It is made in way to provide a comfortable living. It is well connected to the city areas. ",No Deposit,Semi-Furnished
3 BHK Apartment,"2,100 sq ft",Bopal,Ahmedabad,23.01935387,72.47845459,55000,INR,1,Posted 2 days ago,"It’s a 3 bhk multistorey apartment situated in Gala Infrastructure Swing, Bopal, Ahmedabad. It has an area of 2100 sqft with a carpet area of 1500 sqft . The property is available at a monthly rental of Rs. 55,000 . The house is furnished. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,800 sq ft",Ghatlodia,Ahmedabad,23.07501221,72.50261688,30000,INR,3,Posted 4 days ago,"A 3 bhk property is available for rental in Krushnam Infra Beryl Crystal, Ghatlodia, Ahmedabad. The house is semi-furnished. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,440 sq ft",Bopal,Ahmedabad,23.01727676,72.47220612,21000,INR,1,Posted 4 days ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Ratnaakar Group Verte. It has an area of 1440 sqft with a carpet area of 850 sqft . The property is available at a monthly rental of Rs. 21,000 . It is a semi-furnished property. It is facing southeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Villa,"3,460 sq ft",Sanathal,Ahmedabad,22.98703766,72.46933746,140000,INR,1,Posted 4 days ago,"Well designed 4 bhk villa is available at a prime location in Gala Infrastructure Villa Aqua. It has a built-up area of 3460 sqft and is available for rent at Rs. 1.40 lac per month . The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is south facing property. It is a 9 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
2 BHK Apartment,"1,215 sq ft",Shela,Ahmedabad,23.00766754,72.47842407,18000,INR,1,Posted 2 days ago,"A 2 bhk property is available for rental in Goyal And Co And HN Safal Orchid Blues, Shela, Ahmedabad. It has a built-up area of 1215 sqft and is available for rent at Rs. 18,000 per month . It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"2,100 sq ft",Satellite,Ahmedabad,23.02753639,72.50800323,55000,INR,1,Posted 2 days ago,"A spacious 3 bhk multistorey apartment is available for rental in Deep Group Of Companies Indraprasth 6, Satellite, Ahmedabad. It has a built-up area of 2100 sqft and is available for rent at Rs. 55,000 per month . It is a 10 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,575 sq ft",Chandkheda,Ahmedabad,23.10985184,72.57751465,22000,INR,3,Posted 2 months ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Madhuram Blossom Madhuram Blossom, one of the most prestigious projects of Chandkheda. It has area of 1575 sqft and is available at a rent of Rs. 22,000. It is an unfurnished property. It has lift available. Other amenities include club house, children's play area and cctv. Its main door is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ",No Deposit,Unfurnished
3 BHK Apartment,"1,600 sq ft",Bopal,Ahmedabad,23.01732063,72.472229,22000,INR,1,Posted 2 days ago,"It has area of 1600 sqft and is available at a rent of Rs. 22,000. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ","44,000",Semi-Furnished
2 BHK Apartment,"2,500 sq ft",Bodakdev,Ahmedabad,23.03907204,72.51350403,27000,INR,3,Posted 2 days ago,"It’s a 2 bhk multistorey apartment situated in Bodakdev. It has a built-up area of 2500 sqft and is available for rent at Rs. 27,000 per month . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ","54,000",Furnished
3 BHK Apartment,"1,746 sq ft",Chandkheda,Ahmedabad,23.1283493,72.55852509,21000,INR,1,Posted 2 days ago,"It’s a 3 bhk multistorey apartment situated in Shree Sharan Group Sanidhya Royal, Chandkheda. It has an area of 1746 sqft with a carpet area of 1700 sqft . The property is available at a monthly rental of Rs. 21,000 . The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ","42,000",Semi-Furnished
4 BHK Villa,"1,665 sq ft",Sanand,Ahmedabad,22.99567795,72.38197327,20000,INR,1,Posted a month ago,"Well designed 4 bhk villa is available at a prime location in Eklingji Projects Radhe Greens. It has an area of 1665 sqft with a carpet area of 1600 sqft . The property is available at a monthly rental of Rs. 20,000 . It is a semi-furnished property. Its main door is facing southeast direction. This residential property is ready-to-move-in. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,475 sq ft",Bopal,Ahmedabad,23.01346779,72.47044373,35000,INR,2,Posted 2 days ago,"It’s a 3 bhk multistorey apartment situated in Gala Infrastructure Marigold, Bopal, Ahmedabad. It has area of 1475 sqft and is available at a rent of Rs. 35,000. The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. ",No Deposit,Furnished
4 BHK Apartment,"6,223 sq ft",Satellite,Ahmedabad,23.02228737,72.50914001,250000,INR,5,Posted a day ago,"It’s a 4 bhk multistorey apartment situated in Satellite. It has area of 6223 sqft and is available at a rent of Rs. 2.50 lac. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,266 sq ft",Jodhpur,Ahmedabad,23.0193615,72.52078247,28000,INR,2,Posted 2 days ago,"Very Nice 2BHK Flat For Rent at Kaladeep Apartment Satellite
Good Locality
Very Well Maintain Flat
Low Rise Scheme
Modular Kitchen
Adani Gas Line 
Gas Stove
Ro Purifier
Tv Cabinet
Fridge
Ac 2
Sofa
Double Bed With Mattress 
Wardrobes
Dining Table
Study Table
Curtains
Geyser
Washing Machine
ETC

Rent-28, 000
Allotted Parking

24 Hours
Lift
Water Supply
Security
Parking
CCTV Camera
Garden
ETC More About This Property Your search for a spacious home at affordable rent in Ahmedabad ends here. This 2 BHK Apartment in Jodhpur is all that you have been looking for! Designed as East facing, the unit is compliant with vaastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is fully furnished Apartment. This unit is built on floor 2 out of a total 5 floors. The Apartment has been thoughtfully designed to meet a family’s space needs, with 2 bedrooms. It includes 2 bathroom. There are 1 balcony that lets you enjoy scenic views. The built-up area of this Apartment is 1266 square_feet. The carpet area is 1222 square_feet. Residents need to pay a monthly rent of Rs 28000. The security deposit payable is Rs 28000. Project Highlights Families have access to various amenities such as Garden, Sports facility, Intercom, Clubhouse, Community hall. There is a provision for lift facility. The property also has power backup facility. A cctv facility has been installed in this property which provides a secure lifestyle for the occupants. The Apartment is in proximity to major landmarks in Ahmedabad. Families of this Apartment have easy access to healthcare centres when they need medical assistance, especially in emergencies. They include Wellspring IVF & Women's hospital, Urva children's Hospital, Dr Agarwals Eye Hospital","28,000",Furnished
2 BHK Apartment,"1,270 sq ft",Jagatpur,Ahmedabad,23.11238861,72.54834747,19000,INR,2,Posted 2 days ago,"It’s a 2 bhk multistorey apartment situated in Jagatpur, Ahmedabad. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. ","38,000",Semi-Furnished
3 BHK Apartment,"1,372 sq ft",Gota,Ahmedabad,23.1021595,72.54090118,20000,INR,3,Posted 4 days ago,"It has an area of 1372 sqft with a carpet area of 780 sqft . The property is available at a monthly rental of Rs. 20,000 . It is a semi-furnished property. It has children's play area as well as lift available. The project also has gymnasium, gated community, cctv, club house, community hall, swimming pool, intercom and power backup. It is northeast facing property. It is made in way to provide a comfortable living. Kindly call us for details. ",No Deposit,Semi-Furnished
