house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
1 BHK Apartment,550 sq ft,Whitefield,Bangalore,12.9684267,77.7330246,19000,INR,1,Posted a month ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in the heart of Whitefield. It has an area of 550 sqft with a carpet area of 540 sqft . The property is available at a monthly rental of Rs. 19,000 . It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine and 1 bed. It is east facing property. It is a 8 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"2,022 sq ft",Krishnarajapura,Bangalore,13.02386761,77.71152496,50000,INR,3,Posted a month ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Pashmina Developers Pashmina Waterfront. It has an area of 2022 sqft with a carpet area of 2000 sqft . The property is available at a monthly rental of Rs. 50,000 . The house is semi-furnished. It has gymnasium as well as swimming pool. The project also has children's play area, children's play area, gated_community, lift available, power backup, cctv, sports facility and club house. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,800 sq ft,Bellandur,Bangalore,12.936759,77.67951202,32000,INR,1,Posted a month ago,"A 2 bhk property is available for rent in Bellandur, Bangalore. The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table and 1 bed. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",No Deposit,Furnished
1 BHK Independent House,"1,200 sq ft",Whitefield,Bangalore,12.97047997,77.73291016,24000,INR,1,Posted 24 days ago,"Well designed 1 bhk independent house is available at a prime location in Whitefield. It has area of 1200 sqft and is available at a rent of Rs. 24,000. It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 gas connection and 1 bed. It is facing north direction. It is a 8 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Independent House,"1,200 sq ft",Kithaganur Colony,Bangalore,13.02932453,77.70018768,9500,INR,2,Posted 21 days ago,"Itâs a 2 bhk independent house situated in Kithaganur Colony, Bangalore. It has area of 1200 sqft and is available at a rent of Rs. 9,500. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor,550 sq ft,Kasavanahalli,Bangalore,12.90584564,77.67584991,22000,INR,1,Posted 19 days ago,"Itâs a 1 bhk builder floor situated in Kasavanahalli. It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 bed. It is northeast facing property. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,650 sq ft",Sarjapur Road Post Railway Crossing,Bangalore,12.9033556,77.70406342,65000,INR,3,Posted 22 days ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Ahad Builders Euphoria, one of the most prestigious projects of Sarjapur Road Post Railway Crossing. It has an area of 1650 sqft with a carpet area of 1350 sqft . The property is available at a monthly rental of Rs. 65,000 . It is a semi-furnished property. It has lift available. Other amenities include power backup, cctv, intercom, children's play area, swimming pool, gated community, gymnasium and club house. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,850 sq ft,Kasavanahalli,Bangalore,12.91079044,77.67557526,25000,INR,2,Posted 2 months ago,"Itâs a 2 bhk multistorey apartment situated in Kasavanahalli. It has a built-up area of 850 sqft and is available for rent at Rs. 25,000 per month . It is a semi-furnished property. Its main door is facing east direction. It is a 7 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment,300 sq ft,Kasavanahalli,Bangalore,12.90584564,77.67584991,8000,INR,1,Posted 2 months ago,"A 1 rk property is available for rent in Kasavanahalli, Bangalore. The house is furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Furnished
1 RK Studio Apartment,"1,000 sq ft",Domlur Layout,Bangalore,12.96392059,77.63876343,7000,INR,1,Posted a year ago,"It has an area of 1000 sqft with a carpet area of 258 sqft . The property is available at a monthly rental of Rs. 7,000 . It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Independent House,600 sq ft,BTM Layout,Bangalore,12.90750599,77.6085968,13000,INR,2,Posted 2 years ago,"It has area of 600 sqft and is available at a rent of Rs. 13,000. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Independent House,"1,100 sq ft",Koramangala,Bangalore,12.93127346,77.62676239,15000,INR,2,Posted 2 years ago,"A spacious 2 bhk independent house is available for rental in Koramangala, Bangalore. It has an area of 1100 sqft with a carpet area of 1050 sqft . The property is available at a monthly rental of Rs. 15,000 . It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,600 sq ft,Electronics City,Bangalore,12.84566879,77.64907837,9500,INR,1,Posted 3 years ago,"This spacious 1 bhk multistorey apartment is available for rental and is located in the heart of Electronics City. It has an area of 600 sqft . The property is available at a monthly rental of Rs. 9,500 . It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,"1,300 sq ft",RR Nagar,Bangalore,12.92541122,77.51638794,15000,INR,2,Posted 3 years ago,"A 2 bhk property is available for rent in RR Nagar, Bangalore. It has area of 1300 sqft and is available at a rent of Rs. 15,000. The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,250 sq ft",Ramamurthy Nagar,Bangalore,13.01944256,77.68067932,11000,INR,1,Posted 3 years ago,"It is a semi-furnished property. It is facing north direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent House,"2,000 sq ft",Gottigere,Bangalore,12.86309242,77.57836151,13000,INR,3,Posted 3 years ago,"A 1 bhk property is available for rent in Gottigere, Bangalore. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment,250 sq ft,Doddathoguru,Bangalore,12.83827877,77.64981842,13000,INR,1,Posted a year ago,"Well designed 1 rk builder floor is available at a prime location in Doddathoguru. It has a built-up area of 250 sqft and is available for rent at Rs. 13,000 per month . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Furnished
1 BHK Independent House,"1,200 sq ft",Margondanahalli,Bangalore,13.03958035,77.69592285,13000,INR,2,Posted 2 years ago,"This spacious 1 bhk independent house is available for rental and is located in the heart of Margondanahalli. It has an area of 1200 sqft with a carpet area of 650 sqft . The property is available at a monthly rental of Rs. 13,000 . The house is semi-furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment,350 sq ft,J. P. Nagar,Bangalore,12.90258598,77.5904541,6500,INR,1,Posted 2 years ago,"A spacious 1 rk builder floor is available for rental in J. P. Nagar, Bangalore. It has an area of 350 sqft . The property is available at a monthly rental of Rs. 6,500 . The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Villa,"1,075 sq ft",Anekal City,Bangalore,12.73274231,77.72988129,15390,INR,3,Posted 2 years ago,"Well designed 2 bhk villa is available at a prime location in Brick And Land Constructions Pvt Ltd Garden And Skies. It has an area of 1075 sqft with a carpet area of 800 sqft . The property is available at a monthly rental of Rs. 15,390 . The house is furnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",No Deposit,Furnished
1 RK Studio Apartment,450 sq ft,Whitefield,Bangalore,12.97905731,77.75569153,7000,INR,1,Posted 3 years ago,"A spacious 1 rk builder floor is available for rental in Whitefield, Bangalore. It has a built-up area of 450 sqft and is available for rent at Rs. 7,000 per month . It is a semi-furnished property. It is facing east direction. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor,"1,500 sq ft",Kaikondrahalli,Bangalore,12.91460609,77.68507385,24000,INR,3,Posted 3 years ago,"A spacious 3 bhk builder floor is available for rental in Kaikondrahalli, Bangalore. It has a built-up area of 1500 sqft and is available for rent at Rs. 24,000 per month . The house is semi-furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment,250 sq ft,Vibhutipura,Bangalore,12.963727,77.67951202,5250,INR,1,Posted 3 years ago,"A 1 rk property is available for rent in Vibhutipura, Bangalore. It is a semi-furnished property. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,"1,000 sq ft",Nandini Layout,Bangalore,13.01446819,77.53416443,14000,INR,2,Posted 3 years ago,"A 2 bhk property is available for rent in Nandini Layout, Bangalore. It has area of 1000 sqft and is available at a rent of Rs. 14,000. It is a semi-furnished property. It is northeast facing property. It is a 5 year old ready-to-move-in property. The society is well connected by different modes of transportation. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,"1,200 sq ft",Nagavara,Bangalore,13.03570271,77.62400055,16000,INR,2,Posted 3 years ago,"Itâs a 2 bhk builder floor situated in Nagavara. It has a built-up area of 1200 sqft and is available for rent at Rs. 16,000 per month . It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Unfurnished
