house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Independent House,700 sq ft,Virugambakkam,Chennai,13.05279255,80.19313049,14000,INR,2,Posted 2 months ago,"Well designed 2 bhk independent house is available at a prime location in Virugambakkam. It has a built-up area of 700 sqft and is available for rent at Rs. 14,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,072 sq ft",Pammal,Chennai,12.96513557,80.1269455,25000,INR,2,Posted 3 years ago,"It’s a 2 bhk multistorey apartment situated in Appaswamy Real Estates Brooksdale, Pammal, Chennai. It has a built-up area of 1072 sqft and is available for rent at Rs. 25,000 per month . It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 gas connection, 1 ac and 1 bed. It has club house as well as swimming pool. The project also has gymnasium. Its main door is facing east direction. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
3 BHK Apartment,"1,800 sq ft",Sholinganallur,Chennai,12.90576077,80.22459412,21000,INR,3,Posted 2 years ago,"It’s a 3 bhk multistorey apartment situated in Sabari Realtors Vishranthi Sabari Mistral, Sholinganallur. It has area of 1800 sqft and is available at a rent of Rs. 21,000. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent House,"1,500 sq ft",Urapakkam,Chennai,12.86455727,80.07435608,12500,INR,3,Posted 3 years ago,"It’s a 3 bhk independent house situated in Urapakkam, Chennai. It has a built-up area of 1500 sqft and is available for rent at Rs. 12,500 per month . The house is semi-furnished. It is a ready-to-move-in property. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,836 sq ft,Singaperumal Koil,Chennai,12.72616482,79.98428345,15000,INR,2,Posted 3 years ago,"A 2 bhk property is available for rental in Mahindra Lifespaces Developers Nova, Singaperumal Koil, Chennai. It has area of 836 sqft and is available at a rent of Rs. 15,000. It is a semi-furnished property. It has lift available as well as children's play area. The project also has gated community and power backup. It is a 3 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,350 sq ft",Annanagar West,Chennai,13.08455658,80.19309235,25000,INR,2,Posted 3 years ago,It’s a 2 bhk multistorey apartment situated in Annanagar West. It is a semi-furnished property. This residential property is ready-to-move-in. It is well connected to the city areas. Contact us for more details.,No Deposit,Semi-Furnished
1 BHK Independent Floor,750 sq ft,Velachery,Chennai,12.97414589,80.22761536,16000,INR,1,Posted 3 years ago,"It’s a 1 bhk builder floor situated in Velachery, Chennai. It has a built-up area of 750 sqft and is available for rent at Rs. 16,000 per month . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,800 sq ft",Iyappanthangal,Chennai,13.04168606,80.1313324,45000,INR,3,Posted a month ago,"It’s a 3 bhk multistorey apartment situated in Prestige Group Bella Vista, Iyappanthangal. It has area of 1800 sqft and is available at a rent of Rs. 45,000. It has children's play area as well as power backup. The project also has gated community, lift available, gymnasium, club house, intercom, community hall, cctv and swimming pool. It is east facing property. It is a 8 year old ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,350 sq ft",Navallur,Chennai,12.83808994,80.23258209,60000,INR,3,Posted 3 days ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in House Of Hiranandani Bridgewood, one of the most prestigious projects of Navallur. It has a built-up area of 1350 sqft and is available for rent at Rs. 60,000 per month . It is a semi-furnished property. It is a 12 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. "," 3,60,000",Semi-Furnished
3 BHK Apartment,"1,590 sq ft",Sholinganallur,Chennai,12.8941021,80.22774506,42000,INR,3,Posted 16 days ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Baashyaam Constructions Pinnacle Crest. It has an area of 1590 sqft with a carpet area of 1300 sqft . The property is available at a monthly rental of Rs. 42,000 . The house is semi-furnished. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
