house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Independent Floor,500 sq ft,Uttam Nagar,Delhi,28.61867714,77.05335236,8500,INR,1,Posted 22 days ago,"Zero Brokerage.

2 Room set, Govt bijali Meter, Govt water supply, 25ft road, nearby market, car parking -extra charge, bike parking free, Electric Gate Lock, Seprate water Motor,  More About This Property Your search for a spacious home at affordable rent in Delhi ends here. This 2 BHK Independent Floor in Uttam Nagar is all that you have been looking for! Designed as North-West facing, the unit is compliant with vaastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Independent Floor is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is Semi Furnished Independent Floor. This unit is built on floor 2 out of a total 3 floors. The Independent Floor has been thoughtfully designed to meet a family?s space needs, with 2 bedrooms. It includes 1 bathroom. There are 2 balcony that lets you enjoy scenic views. The built-up area of this Independent Floor is 500 Square feet. The carpet area is 450 Square feet. Residents need to pay a monthly rent of Rs 8500. The security deposit payable is Rs 8500. Project Highlights The Independent Floor is in proximity to major landmarks in Delhi. Families of this Independent Floor have easy access to healthcare centres when they need medical assistance, especially in emergencies",No Deposit,Semi-Furnished
1 RK Studio Apartment,400 sq ft,Kalkaji,Delhi,28.54556084,77.25434875,22000,INR,1,Posted 11 days ago,"Fully furnished, loaded with amenities & gadgets- 1RK + lobby Set, with all facilities, Park facing with front wide open terrace & backside Balcony, fully secured. Walkable distance to metro & market. Free daily room cleaning, 24hours free watersupply, Ideal accomodation for male professional working executive. More About This Property This is a modern and stylish home available for affordable rent in Delhi. It is a 1 BHK Independent Floor situated at Kalkaji. Designed to meet your lifestyle needs, the Independent Floor provides a range of modern amenities for the comfort of the residents. It is Fully Furnished. Modern home seekers will experience a comfortable living in this 1 BHK property. The Independent Floor is on 3 floor, and the total number of floors is 3. The 1 BHK unit is elegantly designed to meet your housing needs. The Independent Floor has 1 bedroom. It has 1 bathroom. The 1 BHK unit also includes 1 balcony giving splendid views of the surroundings. It is a South-East facing unit, designed as per vaastu principles. The built-up area of the Independent Floor is 400 Square feet. The carpet area is 300 Square feet. The monthly rent for the Independent Floor is Rs 22000. The security deposit is Rs 22000. Project Highlights The developer also offers 1 BHK units as a part of this project. The property offers various facilities for residents such as Garden, Four Wheeler Parking. Residents have access to power backup facility. Modern safety features like cctv facility have also been installed in the property. The locality Kalkaji enjoys good connectivity and convenience in terms of a well-developed social infrastructure. There are hospitals in the vicinity like Triton Hospital, Best Hospital in New Delhi - Piles | Fissure | Fistula | Circumcision | Hernia | Varicose veins, and DKH Diagnostics",No Deposit,Furnished
3 BHK Independent House,"1,020 sq ft",Model Town,Delhi,28.71289825,77.18000031,48000,INR,3,Posted a year ago,"Itâs a 3 bhk independent house situated in Model Town, Delhi. It has area of 1020 sqft and is available at a rent of Rs. 48,000. It has 1 tv, 1 refrigerator, 1 sofa and 1 ac. It also has 1 bed. This residential property is ready-to-move-in. Please contact for more details. ",No Deposit,Furnished
2 BHK Apartment,810 sq ft,Sector 13 Rohini,Delhi,28.72353935,77.13142395,20000,INR,2,Posted a year ago,"Well designed 2 bhk multistorey apartment is available at a prime location in GS Apartment. It has an area of 810 sqft . The property is available at a monthly rental of Rs. 20,000 . It is an unfurnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",No Deposit,Unfurnished
3 BHK Apartment,750 sq ft,DLF Farms,Delhi,28.48815346,77.15697479,11000,INR,1,Posted 2 years ago,"Well designed 3 bhk multistorey apartment is available at a prime location in DLF Farms. It has a built-up area of 750 sqft and is available for rent at Rs. 11,000 per month . It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",No Deposit,Semi-Furnished
3 BHK Independent Floor,"1,300 sq ft",laxmi nagar,Delhi,28.63550949,77.26966095,20000,INR,2,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in laxmi nagar. It has an area of 1300 sqft with a carpet area of 1300 sqft . The property is available at a monthly rental of Rs. 20,000 . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
3 BHK Independent Floor,"1,200 sq ft",Swasthya Vihar,Delhi,28.64163971,77.2840271,35000,INR,2,Posted 3 years ago,"Well designed 3 bhk builder floor is available at a prime location in Swasthya Vihar. It has an area of 1200 sqft . The property is available at a monthly rental of Rs. 35,000 . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Furnished
3 BHK Independent House,"1,100 sq ft",Janakpuri,Delhi,28.62119293,77.09102631,39000,INR,2,Posted 3 years ago,"A spacious 3 bhk independent house is available for rental in Janakpuri, Delhi. It has an area of 1100 sqft . The property is available at a monthly rental of Rs. 39,000 . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor,"2,000 sq ft",Pitampura,Delhi,28.69649315,77.13860321,40000,INR,3,Posted 2 months ago,"A spacious 3 bhk builder floor is available for rental in Pitampura, Delhi. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,600 sq ft",Sector 7 Dwarka,Delhi,28.58750153,77.06712341,33600,INR,2,Posted 2 months ago,"It has an area of 1600 sqft with a carpet area of 1400 sqft . The property is available at a monthly rental of Rs. 34,000 . The house is semi-furnished. It is facing north direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor,600 sq ft,Govindpuri Extension,Delhi,28.53482056,77.25739288,15000,INR,2,Posted a month ago,"2 bhk independent floor Govindpuri Ext near vishal megha mart  More About This Property A spacious home designed for families aspiring for a modern lifestyle, this Independent Floor is available for affordable rent in Delhi. It is a 2 BHK Independent Floor situated in Chittaranjan Park at a coveted location with well-developed infrastructure. This Independent Floor is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is unfurnished. The 2 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is North-East facing, built as per vaastu principles. This 2 BHK unit is built on floor 2 out of a total 3 floors. There are 2 bedrooms and 2 bathroom. There are 1 balcony, giving majestic views of the outside world. The built-up area of this property is 600 square_feet. The carpet area of this Independent Floor is 500 square_feet. The monthly rent that has to be paid is Rs 15000. The security deposit payable by the residents is Rs 15000. Project Highlights They will also find shops and utility stores within easy reach",No Deposit,Unfurnished
