house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,600 sq ft,Attapur,Hyderabad,17.34897804,78.4158783,9000,INR,1,Posted 2 months ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Shamshiri Infra Projects Builders The Premia, one of the most prestigious projects of Attapur. It has a built-up area of 600 sqft and is available for rent at Rs. 9,000 per month . The house is furnished. Furnishings include 1 refrigerator, 1 sofa, 1 sofa, 1 washing machine, 1 dining table and 1 bed. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Furnished
2 BHK Apartment,"1,100 sq ft",Toli Chowki,Hyderabad,17.39779854,78.40462494,16000,INR,2,Posted 4 years ago,"It’s a 2 bhk multistorey apartment situated in GM Constructions Residency, Toli Chowki, Hyderabad. The house is semi-furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Independent House,"3,000 sq ft",Shamshabad,Hyderabad,17.24313354,78.42085266,45000,INR,4,Posted 3 years ago,"It has an area of 3000 sqft with a carpet area of 2500 sqft . The property is available at a monthly rental of Rs. 45,000 . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 dining table, 1 ac and 1 bed. It is a ready-to-move-in property. Kindly call us for details. ",No Deposit,Furnished
3 BHK Apartment,"3,105 sq ft",Nanakramguda,Hyderabad,17.42153549,78.3467865,80000,INR,3,Posted 3 years ago,"A spacious 3 bhk multistorey apartment is available for rental in Trend Set Trendset Winz, Nanakramguda, Hyderabad. It is a furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Furnished
2 BHK Independent Floor,"1,200 sq ft",Malakpet,Hyderabad,17.37247276,78.48964691,18000,INR,2,Posted 3 years ago,"It’s a 2 bhk builder floor situated in Malakpet. It has area of 1200 sqft and is available at a rent of Rs. 18,000. It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Unfurnished
4 BHK Villa,"2,400 sq ft",Nizampet,Hyderabad,17.52274895,78.378685,30000,INR,4,Posted 3 years ago,"It has a built-up area of 2400 sqft and is available for rent at Rs. 30,000 per month . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,800 sq ft",Uppal,Hyderabad,17.39837646,78.55826569,20000,INR,3,Posted 3 years ago,"It has an area of 1800 sqft with a carpet area of 1500 sqft . The property is available at a monthly rental of Rs. 20,000 . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,399 sq ft",Habsiguda,Hyderabad,21.71421432,73.03166962,12000,INR,2,Posted a month ago,"A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Bharuch. It is a 2 BHK Apartment situated in Zadeshwar at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is semi furnished. The 2 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. This 2 BHK unit is built on floor 5 out of a total 10 floors. There are 2 bedrooms and 2 bathroom. There are 2 balcony, giving majestic views of the outside world. The built-up area of this property is 1399 square_feet. The monthly rent that has to be paid is Rs 12000. The security deposit payable by the residents is Rs 12000. Project Highlights The Apartment is built inside project Golden Residency. The residential property provides various amenities such as Gym, Garden, Sports facility, Swimming pool, Intercom, Clubhouse, Community hall. Residents of this Apartment can enjoy the serene and lush green surroundings. There is lift facility inside this property. Residents have access to power backup facility. State-of-the-art safety features like cctv facility gives a secure environment for families. They will also find shops and utility stores within easy reach",No Deposit,Semi-Furnished
3 BHK Apartment,"3,130 sq ft",Banjara Hills,Hyderabad,17.40629959,78.43732452,115000,INR,3,Posted 2 days ago,"A spacious 3 bhk multistorey apartment is available for rental in Dream India Valencia, Banjara Hills, Hyderabad. It has an area of 3130 sqft with a carpet area of 2750 sqft . The property is available at a monthly rental of Rs. 1.15 lac . It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,885 sq ft",Nanakramguda,Hyderabad,17.40787697,78.33843994,40000,INR,3,Posted 2 days ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in Pacifica Companies Hillcrest, one of the most prestigious projects of Nanakramguda. It has an area of 1885 sqft with a carpet area of 1202 sqft . The property is available at a monthly rental of Rs. 40,000 . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ","80,000",Unfurnished
