house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
1 BHK Apartment,550 sq ft,Shyam Bazar,Kolkata,22.59804726,88.37083435,10000,INR,1,Posted a month ago,"A 1 bhk property is available for rent in Shyam Bazar, Kolkata. It has area of 550 sqft and is available at a rent of Rs. 10,000. The house is semi-furnished. It is a 4 year old ready-to-move-in property. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,154 sq ft",Rajarhat,Kolkata,22.63915253,88.47291565,23000,INR,2,Posted 5 months ago,"A 3 bhk property is available for rental in Aspira Group Aashiyana, Rajarhat, Kolkata. It has area of 1154 sqft and is available at a rent of Rs. 23,000. It is a furnished property. It has 1 refrigerator, 1 washing machine, 1 dining table and 1 ac. It also has 1 bed. It has club house as well as power backup. The project also has community hall, intercom, children's play area, gated community, swimming pool, lift available and gymnasium. It is facing southwest direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,000 sq ft",Lake Town,Kolkata,22.60149193,88.40579224,14000,INR,3,Posted 10 days ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in the heart of Lake Town. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
1 BHK Apartment,460 sq ft,Jadavpur,Kolkata,22.49691772,88.36825562,7000,INR,1,Posted a year ago,"A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Kolkata. It is a 1 BHK Apartment situated in Jadavpur at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is Unfurnished. The 1 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. This 1 BHK unit is built on floor 1 out of a total 3 floors. There are 1 bedroom and 1 bathroom. There are 0 balcony, giving majestic views of the outside world. The built-up area of this property is 460 Square feet. The carpet area of this Apartment is 380 Square feet. The monthly rent that has to be paid is Rs 7000. The security deposit payable by the residents is Rs 7000. Project Highlights Families living in this Apartment will find several hospitals in the neighbourhood like AMRI Hospital - Dhakuria, Sri Aurobindo Seva Kendra (EEDF), and Fortis Hospital and kidney Institute, Rash Behari, Kolkata. They will also find shops and utility stores within easy reach. There are many schools in the vicinity, including Sahid Smriti Sangha, MNG Healthcare - Leading Nursing Training Institute in Kolkata, and Country Club Hospitality and Holidays ltd",No Deposit,Unfurnished
2 BHK Apartment,"1,100 sq ft",Airport,Kolkata,22.64191246,88.42937469,20000,INR,2,Posted 2 months ago,"Itâs a 2 bhk multistorey apartment situated in Airport. It has area of 1100 sqft and is available at a rent of Rs. 20,000. The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 ac and 1 bed. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,800 sq ft",Mourigram,Kolkata,22.55822945,88.28414154,30000,INR,3,Posted a year ago,"Itâs a 3 bhk multistorey apartment situated in Mourigram, Kolkata. It has an area of 1800 sqft with a carpet area of 1700 sqft . The property is available at a monthly rental of Rs. 30,000 . It is a furnished property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Furnished
2 BHK Independent Floor,780 sq ft,Garia,Kolkata,22.46343994,88.3884201,10000,INR,1,Posted 3 years ago,"It has a built-up area of 780 sqft and is available for rent at Rs. 10,000 per month . This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,146 sq ft",Rajarhat,Kolkata,22.60076141,88.4382782,15000,INR,2,Posted 2 years ago,"A 3 bhk property is available for rental in Orchid Infra Ventures Gangour Residency, Rajarhat, Kolkata. It has an area of 1146 sqft with a carpet area of 946 sqft . The property is available at a monthly rental of Rs. 15,000 . It is a semi-furnished property. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor,"1,200 sq ft",Santoshpur,Kolkata,22.49136543,88.38719177,18000,INR,2,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in Santoshpur, Kolkata. It has area of 1200 sqft and is available at a rent of Rs. 18,000. It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Unfurnished
1 RK Studio Apartment,150 sq ft,Sector 22,Kolkata,28.50682259,77.06363678,9500,INR,1,Posted 3 years ago,"This spacious 1 rk builder floor is available for rental and is located in the heart of Sector 22. It has area of 150 sqft and is available at a rent of Rs. 9,500. The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Furnished
