house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment,"1,180 sq ft",Ulwe,Mumbai,18.97104645,73.01772308,19000,INR,2,Posted 2 years ago,"It has area of 1180 sqft and is available at a rent of Rs. 19,000. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,120 sq ft",Ulwe,Mumbai,18.96637726,73.01280212,12500,INR,2,Posted 2 years ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Shivshakti Developers Mumbai Shiv Ornate. It has a built-up area of 1120 sqft and is available for rent at Rs. 12,500 per month . The house is unfurnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. ",No Deposit,Unfurnished
2 BHK Apartment,"1,200 sq ft",Panvel,Mumbai,18.96597862,73.12464905,22000,INR,2,Posted 2 months ago,"A spacious 2 bhk multistorey apartment is available for rental in Marathon Realty Marathon Nexzone, Panvel, Mumbai. It has area of 1200 sqft and is available at a rent of Rs. 22,000. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment,750 sq ft,Kandivali West,Mumbai,19.21359825,72.83363342,28500,INR,2,Posted 3 years ago,"It has a built-up area of 750 sqft and is available for rent at Rs. 28,500 per month . The house is unfurnished. It is a 10 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,400 sq ft",Chembur,Mumbai,19.06293297,72.89239502,50000,INR,3,Posted 3 years ago,"The house is semi-furnished. It has power backup. Other amenities include children's play area, intercom, lift available, gymnasium and club house. It is east facing property. It is a ready-to-move-in property. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
1 RK Studio Apartment,450 sq ft,Badlapur East,Mumbai,19.144207,73.24699402,3000,INR,1,Posted 3 years ago,"This spacious 1 rk multistorey apartment is available for rental and is located in Sagar Group Platinum Sagar Jewels, one of the most prestigious projects of Badlapur East. It has water supply as well as gymnasium. The project also has power backup, lift available, club house and children's play area. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",No Deposit,Unfurnished
1 BHK Apartment,700 sq ft,Dombivali,Mumbai,19.2275486,73.08150482,9500,INR,2,Posted 3 years ago,"Well designed 1 bhk multistorey apartment is available at a prime location in Lodha Group Casa Rio. The house is unfurnished. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",No Deposit,Unfurnished
1 BHK Apartment,600 sq ft,Bandra West,Mumbai,19.06117058,72.83162689,55000,INR,2,Posted 3 years ago,"A 1 bhk property is available for rental in Swaraj Homes Little Flower Apartment, Bandra West, Mumbai. It has an area of 600 sqft with a carpet area of 500 sqft . The property is available at a monthly rental of Rs. 55,000 . The house is furnished. It has 1 tv, 1 refrigerator, 1 washing machine and 1 microwave. It also has 1 dining table, 1 gas connection, 1 ac and 1 bed. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. ",No Deposit,Furnished
1 BHK Apartment,500 sq ft,Andheri West,Mumbai,19.12363625,72.83045959,50000,INR,2,Posted a month ago,"It has area of 500 sqft and is available at a rent of Rs. 50,000. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
4 BHK Apartment,"1,900 sq ft",Juhu,Mumbai,19.1133461,72.83358002,360000,INR,4,Posted a month ago,"Itâs a 4 bhk multistorey apartment situated in Juhu, Mumbai. It has an area of 1900 sqft with a carpet area of 1850 sqft . The property is available at a monthly rental of Rs. 3.60 lac . It is a semi-furnished property. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,050 sq ft",Sion,Mumbai,19.04330826,72.86363983,175000,INR,3,Posted a month ago,"A spacious 3 bhk multistorey apartment is available for rental in Dosti Group Elite, Sion, Mumbai. It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,900 sq ft,Andheri East,Mumbai,19.11686325,72.86997986,65000,INR,2,Posted a month ago,"Itâs a 2 bhk multistorey apartment situated in Andheri East. It has area of 900 sqft and is available at a rent of Rs. 65,000. The house is unfurnished. It is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",No Deposit,Unfurnished
1 RK Studio Apartment,380 sq ft,Kandivali East,Mumbai,19.207407,72.87836456,20000,INR,1,Posted a month ago,"Itâs a 1 rk multistorey apartment situated in RNA NG Builders Suncity, Kandivali East, Mumbai. It has a built-up area of 380 sqft and is available for rent at Rs. 20,000 per month . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,900 sq ft,Powai,Mumbai,19.11515236,72.90356445,50000,INR,2,Posted a month ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Panchvati. It has area of 900 sqft and is available at a rent of Rs. 50,000. The house is unfurnished. This residential property is ready-to-move-in. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,300 sq ft",Kandivali East,Mumbai,19.21083069,72.8747406,77000,INR,2,Posted 2 months ago,"A 3 bhk property is available for rent in Kandivali East, Mumbai. It has a built-up area of 1300 sqft and is available for rent at Rs. 77,000 per month . The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has club house. Other amenities include gymnasium, power backup, lift available and swimming pool. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,050 sq ft",Andheri West,Mumbai,19.14553833,72.822258,90000,INR,3,Posted a month ago,"Itâs a 3 bhk multistorey apartment situated in Versova Neptune Apartment, Andheri West. It has area of 1050 sqft and is available at a rent of Rs. 90,000. It is north facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,595 sq ft,Kalyan West,Mumbai,19.25814056,73.13052368,11000,INR,1,Posted a month ago,"It has a built-up area of 595 sqft and is available for rent at Rs. 11,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,750 sq ft,Bhandup West,Mumbai,19.14644241,72.93894196,40000,INR,2,Posted a month ago,"It is a semi-furnished property. Furnishings include 1 sofa, 1 sofa, 1 gas connection and 1 bed. It is facing north direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Semi-Furnished
