house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,"1,400 sq ft",Vesu,Surat,21.13800049,72.76087952,35000,INR,3,Posted a month ago,"A spacious 3 bhk multistorey apartment is available for rental in Samarth Developers Surat Samarth Enclave, Vesu, Surat. It has an area of 1400 sqft . The property is available at a monthly rental of Rs. 35,000 . It is facing southwest direction. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ",No Deposit,Furnished
2 BHK Apartment,"1,170 sq ft",Pal Gam,Surat,21.19968033,72.77806854,20000,INR,2,Posted 22 days ago,"Well designed 2 bhk multistorey apartment is available at a prime location in Rameshwaram Group Terrace. It has area of 1170 sqft and is available at a rent of Rs. 20,000. It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 gas connection. It also has 1 ac and 1 bed. It is a ready-to-move-in property. It is well connected to the city areas. Please contact for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,222 sq ft",Rander,Surat,21.22689629,72.79151917,16000,INR,3,Posted 8 days ago,"It’s a 2 bhk multistorey apartment situated in Rander, Surat. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Semi-Furnished
6 BHK Independent House,"3,000 sq ft",Athwa,Surat,21.16641045,72.79264832,65000,INR,4,Posted 3 days ago,"It’s a 6 bhk independent house situated in Athwa, Surat. It has area of 3000 sqft and is available at a rent of Rs. 65,000. The house is furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. "," 1,95,000",Furnished
3 BHK Apartment,"1,825 sq ft",Palanpur,Surat,21.21458817,72.77241516,25000,INR,3,Posted a month ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Sai Enterprise Surat Capital Calisto. It has area of 1825 sqft and is available at a rent of Rs. 25,000. It is a semi-furnished property. It is facing northeast direction. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor,720 sq ft,Morabhagal,Surat,21.22160339,72.78874969,16000,INR,1,Posted 2 days ago,"This spacious 1 bhk builder floor is available for rental and is located in the heart of Morabhagal. It has a built-up area of 720 sqft and is available for rent at Rs. 16,000 per month . The house is furnished. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
1 BHK Apartment,900 sq ft,Jahangirpura,Surat,21.22987747,72.77811432,11000,INR,1,Posted a month ago,"It’s a 1 bhk multistorey apartment situated in Swicon Group Wings, Jahangirpura. It has area of 900 sqft and is available at a rent of Rs. 11,000. Its main door is facing west direction. It is a ready-to-move-in property. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,610 sq ft",Palanpur,Surat,21.2108593,72.77133179,23000,INR,3,Posted 2 months ago,"3-BHK, Reddy Possession Flat For Rent, New Campus, Good Locality, Nr. Gauravpath, Palanpur, Surat. More About This Property Your search for a spacious home at affordable rent in Surat ends here. The 3 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is Semi Furnished Apartment. This unit is built on floor 5 out of a total 13 floors. The Apartment has been thoughtfully designed to meet a family?s space needs, with 3 bedrooms. It includes 3 bathroom. There are 1 balcony that lets you enjoy scenic views. The built-up area of this Apartment is 1610 Square feet. The carpet area is 885 Square feet. Project Highlights Families have access to various amenities such as Gym, Garden, Community Hall. There is a provision for lift facility. The property also has power backup facility. A cctv facility has been installed in this property which provides a secure lifestyle for the occupants. The Apartment is in proximity to major landmarks in Surat. Families of this Apartment have easy access to healthcare centres when they need medical assistance, especially in emergencies. They include Love N Care Hospital, BAPS Pramukh Swami Hospital, and LifeLine Multispeciality Hospital",No Deposit,Semi-Furnished
3 BHK Apartment,"2,018 sq ft",Vesu,Surat,21.14222908,72.7721405,40000,INR,3,Posted a month ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in the heart of Vesu. It has area of 2018 sqft and is available at a rent of Rs. 40,000. The house is furnished. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ",No Deposit,Furnished
2 BHK Apartment,"1,450 sq ft",Vesu,Surat,21.14222908,72.7721405,27000,INR,2,Posted 2 months ago,"A spacious 2 bhk multistorey apartment is available for rental in Vesu, Surat. It has a built-up area of 1450 sqft and is available for rent at Rs. 27,000 per month . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Furnished
